Temperature,A3,B3,C3,D3,E3,F3,G3,H3
65,3377.959715,3904.443007,4156.504114,4161.425378,4386.167338,4608.377686,3287.183451,3173.588585
65.1,3393.772427,3951.561637,4211.217894,4214.392032,4448.760461,4675.315128,3293.411692,3180.375021
65.2,3409.585139,3998.680268,4265.931673,4267.358685,4511.353584,4742.25257,3299.639932,3187.161456
65.3,3425.397851,4045.798898,4320.645453,4320.325338,4573.946708,4809.190013,3305.868173,3193.947891
65.4,3441.210564,4092.917529,4375.359233,4373.291991,4636.539831,4876.127455,3312.096413,3200.734326
65.5,3457.023276,4140.036159,4430.073012,4426.258644,4699.132954,4943.064897,3318.324654,3207.520761
65.6,3472.835988,4187.154789,4484.786792,4479.225297,4761.726077,5010.002339,3324.552894,3214.307196
65.7,3488.534651,4232.461956,4537.517405,4530.254587,4821.755992,5074.114718,3331.063918,3221.331084
65.8,3504.416227,4275.729487,4588.336464,4579.376996,4879.076148,5134.57249,3337.822874,3228.481411
65.9,3520.778625,4316.940737,4636.25781,4625.448875,4933.613292,5190.895278,3344.170713,3235.530676
66,3537.009965,4355.222187,4680.635713,4667.454399,4983.955996,5241.777745,3350.52497,3242.186519
66.1,3552.717162,4389.541405,4720.177207,4704.674685,5028.950095,5285.907995,3356.386042,3248.21017
66.2,3567.371978,4419.850353,4754.235683,4737.014024,5067.644295,5323.183254,3361.51762,3253.356997
66.3,3580.433358,4446.175738,4782.933231,4764.425773,5100.292692,5354.674351,3365.496073,3257.621711
66.4,3591.50269,4468.447734,4807.009027,4788.149116,5126.872387,5380.550393,3368.925041,3260.940862
66.5,3600.975238,4487.421961,4826.995662,4808.77208,5148.94682,5402.318602,3371.745947,3263.532066
66.6,3608.607439,4504.519733,4844.38402,4826.643648,5168.060231,5421.34825,3373.814081,3265.494502
66.7,3615.072116,4519.811876,4859.674842,4842.765426,5184.927577,5437.869429,3375.611501,3267.372779
66.8,3620.543989,4533.11262,4873.374105,4857.45397,5200.320969,5452.249565,3377.448689,3269.310496
66.9,3625.86103,4545.421189,4885.781732,4870.523889,5214.48124,5465.461785,3378.958237,3271.203349
67,3630.685719,4557.11985,4897.371186,4882.333195,5227.898483,5477.329676,3380.238947,3273.146147
67.1,3635.681193,4567.617157,4907.360952,4893.697772,5239.859613,5488.211681,3381.434971,3275.118729
67.2,3640.489466,4577.068856,4916.441399,4904.187158,5251.075576,5498.311943,3382.401258,3276.533548
67.3,3645.168349,4586.024529,4924.630007,4913.7309,5261.031088,5507.120354,3382.899797,3277.454513
67.4,3649.162969,4593.668958,4932.112269,4922.295044,5270.048728,5514.378873,3383.143937,3278.043266
67.5,3652.832894,4599.570773,4938.40983,4929.631653,5276.991352,5519.884774,3382.967878,3278.066584
67.6,3655.936034,4603.818468,4944.01313,4935.033533,5282.310616,5523.597264,3382.635035,3277.755446
67.7,3658.71704,4606.419397,4948.230044,4938.449249,5285.443831,5525.471713,3381.975614,3277.526565
67.8,3661.093694,4607.594365,4951.044771,4940.404099,5286.880382,5525.83256,3381.249823,3277.13145
67.9,3663.303302,4607.633233,4952.172147,4940.754695,5286.31067,5524.909814,3380.242553,3276.497053
68,3665.060624,4606.831536,4951.983875,4939.473863,5284.398301,5522.442651,3379.058569,3275.873439
68.1,3666.442284,4605.361689,4950.861016,4937.426116,5281.088685,5518.397699,3377.798116,3275.087318
68.2,3667.646228,4603.408025,4948.778888,4934.601539,5276.42058,5512.839152,3376.415539,3273.948709
68.3,3668.620172,4600.398899,4945.889089,4930.955859,5270.361919,5506.459174,3374.946309,3272.677551
68.4,3669.091897,4596.973147,4942.341206,4926.98779,5263.54959,5498.760463,3373.858081,3271.61127
68.5,3669.308556,4593.237806,4938.249803,4923.291786,5256.476427,5490.609591,3373.148354,3270.524947
68.6,3669.301014,4589.108551,4932.784991,4919.029667,5248.999105,5482.107541,3372.441522,3269.495576
68.7,3668.744241,4585.051107,4927.134002,4914.331926,5241.352403,5473.085481,3371.725394,3268.692765
68.8,3667.928499,4581.080902,4920.882021,4909.048691,5233.743309,5463.000842,3371.134405,3268.077518
68.9,3667.020229,4576.774912,4914.437237,4902.99113,5226.105476,5452.837039,3370.097657,3267.404211
69,3666.173822,4572.136251,4907.547638,4895.877304,5217.811667,5442.395224,3368.962634,3266.81178
69.1,3665.203158,4567.127564,4901.060046,4888.442988,5209.185829,5431.743529,3367.805039,3266.315207
69.2,3664.035553,4560.968655,4894.428464,4880.93859,5200.201536,5420.840671,3366.745419,3265.480753
69.3,3662.567112,4554.611965,4887.888977,4873.128952,5190.715579,5409.970397,3365.515068,3264.294118
69.4,3661.152317,4547.658244,4880.661744,4865.565619,5180.351481,5398.46703,3364.578934,3262.965198
