Temperature,A3,B3,C3,D3,E3,F3,G3,H3
65,-79.06356043,-235.5931523,-273.5688982,-264.8332659,-312.9656156,-334.6872107,-31.14120243,-33.93217567
65.1,-171.3043809,-510.4518299,-592.7326128,-573.8054094,-678.0921671,-725.1556232,-67.47260527,-73.51971394
65.2,-158.1271209,-471.1863045,-547.1377964,-529.6665317,-625.9312312,-669.3744214,-62.28240486,-67.86435133
65.3,-158.1271209,-471.1863045,-547.1377964,-529.6665317,-625.9312312,-669.3744214,-62.28240486,-67.86435133
65.4,-158.1271209,-471.1863045,-547.1377964,-529.6665317,-625.9312312,-669.3744214,-62.28240486,-67.86435133
65.5,-158.2221615,-472.6958579,-548.7904349,-531.2810011,-628.0672378,-671.728641,-62.04675223,-67.66647434
65.6,-157.4044493,-463.8286802,-538.8149283,-521.568783,-615.3733241,-658.2946086,-63.48971036,-68.94624683
65.7,-157.4054708,-443.0775037,-518.5104821,-501.6861335,-586.9335239,-623.9423584,-66.92814874,-71.15316963
65.8,-161.4815141,-423.1357085,-495.0619279,-477.7709982,-560.5237346,-585.3908988,-65.73523684,-71.43117736
65.9,-163.8061611,-399.0517927,-463.1118239,-441.832604,-526.5372329,-538.2073016,-63.5788677,-68.96814656
66,-160.4604517,-363.9037321,-421.2133012,-396.8078759,-478.4385638,-476.2424785,-61.68990342,-63.8003089
66.1,-152.7011407,-323.1586065,-368.4369484,-347.9167485,-419.0224957,-406.2208275,-55.51319983,-56.06065724
66.2,-139.364034,-283.2075998,-313.0623964,-297.7616571,-356.5203168,-342.7984983,-45.40015068,-47.1149855
66.3,-120.6563515,-242.4154077,-262.8069203,-254.1527842,-294.8566791,-285.4387559,-36.58289091,-37.79085724
66.4,-102.5829859,-204.4170019,-218.6259263,-220.9506914,-240.6809122,-235.8241744,-31.41877406,-29.28778074
66.5,-85.1660258,-179.116544,-185.2152746,-191.3471746,-204.0565514,-202.6564863,-24.16407157,-22.23170645
66.6,-69.77810661,-162.0453596,-162.5569708,-168.8682658,-178.6645611,-177.2562056,-18.66731997,-18.63005611
66.7,-58.8388417,-142.2865543,-144.27884,-153.942301,-160.4595705,-153.3894456,-18.22047785,-19.04722231
66.8,-53.52752451,-126.8953267,-129.8899578,-138.6484603,-147.1592099,-137.2978534,-16.95751653,-19.16076114
66.9,-50.43730628,-120.2104678,-120.2421182,-123.4178799,-138.0733998,-125.2488646,-13.74883266,-19.11604804
67,-48.84651845,-111.3429245,-107.9720557,-115.5482342,-126.8936427,-113.2806538,-12.38441959,-20.08332842
67.1,-49.26887792,-99.15725835,-94.76119085,-109.6872417,-115.7224103,-105.1663065,-11.13077313,-17.37337135
67.2,-47.84999978,-92.25821775,-86.17612907,-100.2526428,-106.0179645,-95.18349069,-7.344685581,-11.49095565
67.3,-43.53026828,-84.03933134,-78.59839844,-90.77434388,-95.54456353,-80.71861694,-3.673769593,-7.608241448
67.4,-38.22482685,-68.01695027,-68.88904915,-80.29970588,-80.37256125,-64.02503244,-0.259055533,-3.062226373
67.5,-33.86318959,-50.66767795,-59.67237514,-64.32463447,-61.4019685,-46.16314318,2.622524233,1.978841621
67.6,-29.28537108,-34.05298782,-49.69100592,-43.69309788,-42.32347875,-27.70152147,5.036662356,2.840277314
67.7,-25.65906528,-18.45392893,-35.40900921,-26.53457189,-22.69900819,-10.71444178,6.963647011,2.852031083
67.8,-22.97125221,-5.58135426,-19.63839718,-11.66936656,-4.03919276,2.783813248,8.573352053,5.295077626
67.9,-20.00849489,4.204104138,-4.068216184,5.348966082,12.91791627,16.70438363,11.12710699,6.354032117
68,-15.46610449,11.65501419,6.852634501,17.35506188,26.09672969,32.58625979,12.26768058,6.745950817
68.1,-12.80663626,16.79479099,16.1306935,24.31646211,39.8941826,48.64779574,13.20666954,9.648614427
68.2,-11.15985864,24.8699394,25.11062574,32.72998807,54.13785266,59.85501221,14.67830214,12.51330581
68.3,-7.249230422,32.79595159,32.40853649,38.97971803,65.29638504,70.70116497,13.17491674,11.78095046
68.4,-3.210235809,35.82439255,37.60032662,38.11725496,69.71871801,80.0542093,8.674684258,10.63974742
68.5,-1.290726208,39.64081479,48.07886539,39.20087809,72.82863693,83.208072,6.759628937,10.78397605
68.6,2.79260106,41.33445446,56.22268081,44.78315042,75.98825809,87.02771924,7.216669407,9.269751375
68.7,7.243162952,39.79858181,59.50932385,49.62262661,76.39617848,95.90086644,6.17187015,6.853108944
68.8,8.887416121,41.03104879,63.61397439,56.31167672,75.65664381,101.8960177,7.952507301,6.353861919
68.9,8.746944161,44.69472069,67.16758989,66.23512889,79.40547186,102.9191594,11.21150854,6.456950431
69,8.869688603,47.55545097,67.136646,73.56252535,84.84617452,105.4899235,11.62663441,5.096058469
69.1,10.54419662,55.98151604,65.33760972,74.70627631,87.90929068,107.9748218,10.96260669,6.28176797
69.2,13.3890509,63.03898529,65.40221414,76.83383476,91.91817317,108.5473821,11.61339025,10.26844341
69.3,14.38199477,66.50861933,68.61044495,77.31049542,99.46573012,111.4602885,10.73695618,12.75522188
69.4,15.71622286,70.91725705,73.16544769,74.28956081,105.2352263,117.1423296,10.52590321,13.9118303
69.5,18.33537555,74.69847981,76.6281969,72.63742779,108.1403292,124.1266423,12.72773067,16.30545638
69.6,19.43429772,75.12289958,85.85061886,76.00201517,111.9196946,129.2307192,11.32237867,15.31229518
69.7,19.48896243,74.53688265,97.50648614,78.09300007,114.9629936,128.6567777,10.31853413,10.97541057
69.8,19.79054124,73.50642485,101.2960132,81.75706132,117.5865215,130.2775228,12.13770975,8.508045518
69.9,21.88452221,72.8432289,101.0246881,90.74010652,121.5721602,134.3476157,12.39656112,6.706252369
70,23.92378705,70.8756858,103.7225128,97.99183949,123.9842254,135.6460911,11.07303982,4.626500378
70.1,24.22107969,66.81965112,104.1730973,102.482041,124.8156177,136.7024326,12.1444917,5.021088659
70.2,24.7624928,68.98267594,100.9309241,107.7758364,129.1059243,144.9509519,12.18094347,6.473232153
70.3,27.82976704,74.35156829,102.4151505,110.8506032,131.224406,150.9147507,11.06813747,6.959128922
70.4,28.55920176,77.91998481,111.1587817,111.8287508,133.3032535,154.124407,11.43366375,8.439661303
70.5,27.81137757,82.69173062,117.6868806,116.7432959,143.3021766,160.6283873,12.27523915,9.737500539
70.6,29.43588024,91.20880908,122.4811082,120.5501311,153.9280862,167.5456314,13.86938805,8.265341947
70.7,29.57622977,96.05254105,128.4958362,122.2795337,158.1965397,171.2181551,14.91134302,6.001055301
70.8,29.4316675,97.44204505,132.479108,126.678606,164.8713449,177.4495108,14.38235024,6.496819262
70.9,30.33670421,99.75656586,132.5619118,129.8567397,171.6259197,185.4314827,12.99383643,7.45866614
71,30.79206222,101.1412401,133.4564664,127.7180375,170.9462101,190.9910566,11.37630865,7.182399392
71.1,30.63691464,99.39064673,136.8266798,127.0880853,172.5473932,200.3556559,10.70719427,9.050373882
71.2,32.42924164,95.84616879,142.5773336,130.7160652,180.4467334,211.9083684,11.18667092,11.501577
71.3,32.79989324,93.31038616,149.7639477,133.7761512,186.3540437,219.2223746,10.59077148,9.30342989
71.4,32.51672468,92.62100432,156.7441237,138.1399881,192.5762408,226.2161856,8.678735599,6.540244983
71.5,33.98652274,97.03175228,163.9305866,149.9845996,204.641455,235.9170444,9.187492594,5.462577517
71.6,33.83049717,103.018691,171.4918957,163.305805,212.9256436,240.9491117,8.222890069,4.750690345
71.7,34.10370405,111.6140253,177.293709,170.3790912,218.2923797,245.7000033,5.59255478,4.726850416
71.8,36.60974083,123.8841053,183.6270018,179.864437,228.9634401,254.9816321,6.670260951,6.75051113
71.9,39.00232289,132.7633922,192.4435576,190.3096366,240.5128506,264.4511273,10.7540418,8.647674663
72,41.54409963,135.2613361,203.3173218,196.2253659,246.3987311,273.6852036,11.18153921,10.2160248
72.1,45.56141251,138.088342,211.783982,202.0719208,255.5952011,285.2059202,8.838308461,10.03316699
72.2,45.83182579,142.8666055,219.6592314,210.4849028,268.2138819,294.6550664,9.68750942,8.962174701
72.3,46.00434818,144.1485688,227.1979911,218.1738472,273.8267075,300.6917484,10.28975664,10.24014116
72.4,48.52923375,148.3726186,232.4317872,225.6305352,276.6606648,306.8815976,8.683824696,9.605650055
72.5,47.70021983,154.6672309,234.5335244,229.8681631,285.4524532,311.8815916,10.26855262,7.510342545
72.6,46.81346239,161.7226584,236.0873755,230.4852674,291.9963222,313.6349199,15.80384576,9.44208355
72.7,51.99946597,168.4954995,238.6827602,233.8914057,292.714296,316.6396328,16.79073563,11.22919285
72.8,53.13713531,173.2573914,241.8350183,233.471269,296.4238441,320.9719924,16.09064154,8.464424054
72.9,51.93034972,178.4137706,245.6680834,231.5094801,300.9658285,323.2392826,16.88288698,9.875668212
73,58.20347958,188.1778562,248.9434396,236.1137277,299.1714866,324.4384611,14.28967193,12.86068053
73.1,64.08429091,197.1882914,255.6498522,246.0909898,297.0371319,327.6473773,10.17856927,11.34315865
73.2,64.84408831,205.060264,265.5971991,254.1442646,297.991462,330.0435715,8.991008405,11.27316369
73.3,70.24956599,218.1297682,275.3368646,265.2086622,295.9576087,332.0362951,7.874907001,13.54739332
73.4,75.97813798,228.6579515,286.4196247,279.9472326,293.7608061,334.9392734,5.800078443,12.24932087
73.5,73.95688206,235.9793564,304.4697835,292.616331,295.5242829,337.0958902,3.71164289,11.27785828
73.6,72.89726424,244.5960919,323.4633876,306.2208117,299.763838,337.5271546,3.559003512,10.44902671
73.7,75.84666257,249.7873507,340.7359497,325.8500523,301.3134527,336.7222702,5.86424423,7.248814173
73.8,77.87390506,252.5656774,362.7235746,348.1451421,304.8490656,335.0174473,5.804300478,5.02657883
73.9,79.96011245,256.8778698,389.7024654,371.7777727,310.0242806,331.5263809,5.528172736,4.678641267
74,85.22462041,257.7324528,417.6673929,401.9839575,313.5728271,330.4108858,10.00156177,4.458311452
74.1,88.84705288,255.9348383,449.1204865,434.4966629,314.1870861,334.647494,13.34623761,5.63340648
74.2,87.9312321,256.9729921,482.0701181,464.8213471,317.6552409,340.8411535,11.53253841,8.348854131
74.3,85.63984405,255.9895337,513.396905,494.7728986,320.0349966,343.8064093,11.99662356,10.35512932
